Educational Attainment,Sex,Year,Value
"Less than primary, primary and lower secondary education",F,2014,8.3
"Less than primary, primary and lower secondary education",F,2015,9
"Less than primary, primary and lower secondary education",F,2016,9.9
"Less than primary, primary and lower secondary education",F,2017,9.5
"Less than primary, primary and lower secondary education",F,2018,9.9
"Less than primary, primary and lower secondary education",F,2019,12.5
"Less than primary, primary and lower secondary education",F,2020,11
"Less than primary, primary and lower secondary education",F,2021,10.5
"Less than primary, primary and lower secondary education",F,2022,9.3
"Less than primary, primary and lower secondary education",F,2023,8.6
Upper secondary and post-secondary non-tertiary education,F,2014,19.1
Upper secondary and post-secondary non-tertiary education,F,2015,19.3
Upper secondary and post-secondary non-tertiary education,F,2016,20.7
Upper secondary and post-secondary non-tertiary education,F,2017,20.7
Upper secondary and post-secondary non-tertiary education,F,2018,20.3
Upper secondary and post-secondary non-tertiary education,F,2019,24.3
Upper secondary and post-secondary non-tertiary education,F,2020,21.8
Upper secondary and post-secondary non-tertiary education,F,2021,20.7
Upper secondary and post-secondary non-tertiary education,F,2022,19.1
Upper secondary and post-secondary non-tertiary education,F,2023,18.3
Tertiary education,F,2014,15.2
Tertiary education,F,2015,16
Tertiary education,F,2016,16.6
Tertiary education,F,2017,17.9
Tertiary education,F,2018,16.8
Tertiary education,F,2019,18.3
Tertiary education,F,2020,16.5
Tertiary education,F,2021,16.7
Tertiary education,F,2022,15.4
Tertiary education,F,2023,14.1
"Less than primary, primary and lower secondary education",M,2014,9.7
"Less than primary, primary and lower secondary education",M,2015,10
"Less than primary, primary and lower secondary education",M,2016,9.9
"Less than primary, primary and lower secondary education",M,2017,9.7
"Less than primary, primary and lower secondary education",M,2018,9.9
"Less than primary, primary and lower secondary education",M,2019,13.3
"Less than primary, primary and lower secondary education",M,2020,13.3
"Less than primary, primary and lower secondary education",M,2021,11.3
"Less than primary, primary and lower secondary education",M,2022,9
"Less than primary, primary and lower secondary education",M,2023,7.8
Upper secondary and post-secondary non-tertiary education,M,2014,8.6
Upper secondary and post-secondary non-tertiary education,M,2015,8.6
Upper secondary and post-secondary non-tertiary education,M,2016,9.5
Upper secondary and post-secondary non-tertiary education,M,2017,9.5
Upper secondary and post-secondary non-tertiary education,M,2018,9.2
Upper secondary and post-secondary non-tertiary education,M,2019,12.3
Upper secondary and post-secondary non-tertiary education,M,2020,12.6
Upper secondary and post-secondary non-tertiary education,M,2021,10.9
Upper secondary and post-secondary non-tertiary education,M,2022,9.4
Upper secondary and post-secondary non-tertiary education,M,2023,8.5
Tertiary education,M,2014,7.6
Tertiary education,M,2015,7.4
Tertiary education,M,2016,8.7
Tertiary education,M,2017,8.6
Tertiary education,M,2018,9
Tertiary education,M,2019,10.2
Tertiary education,M,2020,10
Tertiary education,M,2021,9.3
Tertiary education,M,2022,8.5
Tertiary education,M,2023,6.7
