DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2014,77.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2015,77.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2016,78.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2017,79.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2018,80.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2019,80.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2020,79.2,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2021,80.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2022,81.4,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,DE,2023,81.9,
