DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2014,73.8,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2015,74.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2016,74.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2017,75.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2018,75.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2019,76.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2020,75.4,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2021,75.6,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2022,76.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2023,77.2,
