DATAFLOW,LAST UPDATE,freq,citizen,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2014,18.9,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2015,18.2,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2016,18.8,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2017,18.9,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2018,18.7,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2019,18.2,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2020,19.9,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2021,20.2,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2022,20.0,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2023,19.6,
