DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2014,5.0,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2015,4.6,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2016,4.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2017,3.8,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2018,3.4,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2019,3.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2020,3.9,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2021,3.7,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2022,3.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2023,3.1,
