DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2014,24.4,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2015,24.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2016,25.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2017,26.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2018,26.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2019,25.7,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2020,22.7,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2021,24.1,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2022,26.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,F,Y15-64,PC_POP,TR,2023,26.4,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,M,Y15-64,PC_POP,TR,2014,66.2,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,M,Y15-64,PC_POP,TR,2015,66.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED0-2,M,Y15-64,PC_POP,TR,2016,66.5,
