DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2014,29.5,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2015,30.4,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2016,31.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2017,32.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2018,32.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2019,32.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2020,29.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2021,31.8,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2022,34.4,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2023,35.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2014,69.5,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2015,69.8,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2016,70.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2017,70.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2018,70.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2019,68.3,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2020,65.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2021,68.6,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2022,71.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2023,71.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2014,49.5,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2015,50.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2016,50.6,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2017,51.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2018,52.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2019,50.3,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2020,47.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2021,50.3,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2022,52.8,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2023,53.8,
