DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2014,12.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2015,11.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2016,11.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2017,10.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2018,10.2,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2019,9.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2020,9.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2021,9.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2022,7.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2023,7.4,
