DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2014,55.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2015,56.3,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2016,57.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2017,58.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2018,58.6,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2019,59.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2020,58.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2021,58.2,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2022,60.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2023,61.5,
