DATAFLOW,LAST UPDATE,freq,citizen,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2014,18.7,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2015,19.4,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2016,19.2,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2017,20.1,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2018,20.5,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2019,20.1,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2020,19.8,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2021,20.9,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2022,22.3,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2023,21.9,
