DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2014,12.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2015,11.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2016,11.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2017,11.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2018,10.6,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2019,9.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2020,9.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2021,9.5,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2022,8.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2023,7.7,
