DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2014,4.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2015,4.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2016,3.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2017,3.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2018,2.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2019,2.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2020,3.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2021,3.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2022,2.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,DE,2023,2.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2014,12.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2015,11.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2016,11.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2017,10.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2018,10.2,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2019,9.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2020,9.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2021,9.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2022,7.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,IT,2023,7.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2014,11.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2015,11.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2016,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2017,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2018,12.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2019,15.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2020,15.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2021,13.5,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2022,12.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2023,11.3,
