DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2014,73.8,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2015,74.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2016,74.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2017,75.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2018,75.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2019,76.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2020,75.4,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2021,75.6,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2022,76.9,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,DE,2023,77.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2014,55.7,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2015,56.3,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2016,57.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2017,58.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2018,58.6,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2019,59.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2020,58.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2021,58.2,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2022,60.1,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,IT,2023,61.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2014,49.5,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2015,50.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2016,50.6,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2017,51.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2018,52.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2019,50.3,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2020,47.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2021,50.3,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2022,52.8,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2023,53.8,
