DATAFLOW,LAST UPDATE,freq,citizen,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2014,18.9,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2015,18.2,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2016,18.8,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2017,18.9,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2018,18.7,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2019,18.2,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2020,19.9,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2021,20.2,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2022,20.0,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,DE,2023,19.6,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2014,18.7,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2015,19.4,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2016,19.2,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2017,20.1,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2018,20.5,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2019,20.1,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2020,19.8,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2021,20.9,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2022,22.3,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,IT,2023,21.9,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2014,32.6,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2015,33.5,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2016,33.8,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2017,34.6,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2018,34.7,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2019,35.3,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2020,35.3,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2021,36.1,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2022,35.9,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2023,35.7,
