DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2014,5.0,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2015,4.6,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2016,4.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2017,3.8,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2018,3.4,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2019,3.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2020,3.9,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2021,3.7,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2022,3.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,DE,2023,3.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2014,12.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2015,11.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2016,11.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2017,11.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2018,10.6,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2019,9.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2020,9.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2021,9.5,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2022,8.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,IT,2023,7.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2014,9.9,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2015,10.3,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2016,10.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2017,10.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2018,10.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2019,13.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2020,13.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2021,12.0,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2022,10.5,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2023,9.4,
