DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2014,56.8,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2015,57.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2016,57.1,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2017,57.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2018,58.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2019,55.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2020,52.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2021,54.8,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2022,58.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y20-64,PC_POP,TR,2023,59.0,
