DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2014,11.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2015,11.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2016,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2017,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2018,12.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2019,15.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2020,15.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2021,13.5,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2022,12.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2023,11.3,
