DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2014,49.5,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2015,50.2,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2016,50.6,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2017,51.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2018,52.0,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2019,50.3,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2020,47.5,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2021,50.3,b
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2022,52.8,
ESTAT:LFSA_ERGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2023,53.8,
