DATAFLOW,LAST UPDATE,freq,citizen,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2014,32.6,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2015,33.5,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2016,33.8,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2017,34.6,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2018,34.7,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2019,35.3,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2020,35.3,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2021,36.1,b
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2022,35.9,
ESTAT:LFSA_EOQGAN(1.0),24/04/24 23:00:00,A,TOTAL,Y15-64,T,PC,TR,2023,35.7,
