DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2014,9.9,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2015,10.3,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2016,10.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2017,10.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2018,10.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2019,13.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2020,13.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2021,12.0,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2022,10.5,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-74,TOTAL,TR,2023,9.4,
