DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2014,8.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2015,9.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2016,9.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2017,9.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2018,9.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2019,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2020,11.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2021,10.5,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2022,9.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,TR,2023,8.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2014,19.1,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2015,19.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2016,20.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2017,20.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2018,20.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2019,24.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2020,21.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2021,20.7,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2022,19.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED3_4,Y15-74,PC_ACT,TR,2023,18.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2014,15.2,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2015,16.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2016,16.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2017,17.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2018,16.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2019,18.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2020,16.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2021,16.7,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2022,15.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,F,ED5-8,Y15-74,PC_ACT,TR,2023,14.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2014,9.7,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2015,10.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2016,9.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2017,9.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2018,9.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2019,13.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2020,13.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2021,11.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2022,9.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED0-2,Y15-74,PC_ACT,TR,2023,7.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2014,8.6,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2015,8.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2016,9.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2017,9.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2018,9.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2019,12.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2020,12.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2021,10.9,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2022,9.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2023,8.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2014,7.6,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2015,7.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2016,8.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2017,8.6,
