DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2014,12.1,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2015,12.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2016,13.9,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2017,14.2,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2018,14.0,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2019,16.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2020,15.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2021,15.0,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2022,13.8,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,F,Y15-64,TOTAL,TR,2023,13.0,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2014,9.2,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2015,9.3,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2016,9.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2017,9.6,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2018,9.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2019,12.6,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2020,12.6,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2021,10.9,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2022,9.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,M,Y15-64,TOTAL,TR,2023,7.8,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2014,10.1,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2015,10.4,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2016,11.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2017,11.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2018,11.1,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2019,14.0,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2020,13.4,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2021,12.2,b
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2022,10.7,
ESTAT:LFSA_URGAN(1.0),24/04/24 23:00:00,A,PC,T,Y15-64,TOTAL,TR,2023,9.6,
